#{"t_start": 1775240036.3834953, "env_id": "None"}
r,l,t
0.0,29,12.757138
0.0,71,12.775303
0.0,13,12.785846
0.0,10,12.803504
0.0,9,12.843305
0.0,11,12.851384
0.0,16,12.86834
0.0,38,12.951266
0.0,9,12.960187
0.0,53,12.977701
0.0,19,13.019367
0.0,19,13.028354
0.0,41,13.036731
0.0,33,13.079775
0.0,63,13.088521
0.0,11,13.135165
0.0,15,13.1528
0.0,11,13.190127
0.0,24,13.200456
0.0,24,13.253789
0.0,25,13.334648
0.0,18,13.368481
0.0,26,13.380328
0.0,47,13.38685
0.0,22,13.38691
0.0,35,13.461187
0.0,11,13.468989
0.0,19,13.477309
0.0,30,13.500101
0.0,10,13.530511
0.0,70,13.536294
0.0,19,13.570698
0.0,33,13.599903
0.0,36,13.642305
0.0,18,13.664655
0.0,43,13.673229
0.0,32,13.704734
0.0,17,13.726587
0.0,32,13.73996
0.0,13,13.760076
0.0,7,13.778432
0.0,11,13.778508
0.0,17,13.826191
0.0,10,13.863091
0.0,20,13.882794
0.0,23,13.907631
0.0,24,13.923666
0.0,10,13.936136
0.0,46,13.944488
0.0,13,13.968183
0.0,36,14.004088
0.0,29,14.017462
0.0,8,14.048607
0.0,22,14.04864
0.0,18,14.054352
0.0,13,14.054394
0.0,25,14.085982
0.0,20,14.170602
0.0,95,14.176931
0.0,22,14.176984
0.0,21,14.199356
0.0,34,14.209437
0.0,72,14.247614
0.0,33,14.247679
0.0,20,14.313464
0.0,15,14.321947
0.0,20,14.321984
0.0,13,14.321993
0.0,45,14.347201
0.0,15,14.357199
0.0,18,14.383267
0.0,6,14.406647
0.0,13,14.415039
0.0,34,14.425104
0.0,13,14.45577
0.0,19,14.47565
0.0,6,14.47571
0.0,22,14.495469
0.0,11,14.501511
0.0,27,14.52297
0.0,9,14.541799
0.0,12,14.571103
0.0,18,14.592901
0.0,18,14.614533
0.0,19,14.625554
0.0,17,14.64637
0.0,9,14.66821
0.0,8,14.685274
0.0,46,14.693739
0.0,20,14.69377
0.0,40,14.764023
0.0,56,14.790178
0.0,40,14.797987
0.0,8,14.869202
0.0,33,14.897756
0.0,28,14.91054
0.0,21,14.974873
0.0,49,14.974925
0.0,39,14.980686
0.0,14,15.00179
0.0,11,15.025373
0.0,11,15.025392
0.0,11,15.027953
0.0,9,15.034832
0.0,23,15.038454
0.0,10,15.069907
0.0,7,15.076525
